1951-02-01,38,21,29.5,1.31,T,T
1951-02-02,26,5,15.5,T,T,T
1952-01-01,68,39,53.5,0,0,0
1952-01-02,52,35,43.5,0.27,0,0
1952-01-03,39,21,30,0.5,T,T
1952-01-04,36,19,27.5,0,0,T
1952-01-05,39,30,34.5,0.16,T,T
1952-01-06,32,24,28,0,0,0
1952-01-07,32,10,21,0,0,0
1952-01-08,35,18,26.5,0,0,0
1952-01-09,48,32,40,0.01,0,0
1952-01-10,36,25,30.5,0.01,0.3,T
1952-01-11,31,17,24,0,0,T
1952-01-12,43,21,32,0,0,0
1952-01-13,36,18,27,0,0,0
1952-01-14,55,35,45,0.07,0,0
1952-01-15,63,43,53,0.06,0,0
1952-01-16,53,28,40.5,0,0,0
1952-01-17,58,28,43,0.25,0,0
1952-01-18,58,32,45,0.35,0,0
1952-01-19,38,20,29,0.07,T,0
1952-01-20,56,34,45,0.16,T,0
1952-01-21,35,15,25,T,T,0
1952-01-22,40,28,34,0.35,0,0
1952-01-23,43,21,32,0.03,0.2,T
1952-01-24,24,9,16.5,0.02,2.1,2
1952-01-25,36,0,18,0,0,1
1952-01-26,55,28,41.5,1.48,0,0
1952-01-27,52,38,45,0.87,0,0
1952-01-28,40,29,34.5,T,T,T
1952-01-29,29,6,17.5,T,T,T
1952-01-30,20,0,10,0,0,0
1952-01-31,38,6,22,0,0,0
1952-02-01,50,20,35,0,0,0
1952-02-02,48,38,43,0.35,0,0
1954-01-01,42,15,28.5,T,T,0
1954-01-02,51,17,34,0,0,0
1954-01-03,44,29,36.5,0.12,0,0
1954-01-04,32,26,29,0,0,0
1954-01-05,31,16,23.5,0.11,1.1,1
1954-01-06,29,23,26,0.21,2.7,4
1954-01-07,30,23,26.5,0.02,0.3,3
1954-01-08,31,6,18.5,T,0,1
1954-01-09,44,18,31,0.02,0,T
1954-01-10,45,23,34,0.23,0,0
1954-01-11,29,15,22,0.11,1.2,1
1954-01-12,25,14,19.5,0.03,0.4,2
1954-01-13,18,3,10.5,0.11,0.6,2
1954-01-14,34,3,18.5,T,2.4,5
1954-01-15,38,33,35.5,0.4,T,1
1954-01-16,39,30,34.5,0.31,T,1
1954-01-17,31,10,20.5,0.04,0.8,1
1954-01-18,41,-5,18,0,0,1
1954-01-19,40,21,30.5,0,0,0
1954-01-20,61,34,47.5,T,0,0
1954-01-21,57,30,43.5,0.29,0,0
1954-01-22,30,17,23.5,0.02,0,0
1954-01-23,37,6,21.5,0,0,0
1954-01-24,49,24,36.5,0,0,0
1954-01-25,42,35,38.5,0,0,0
1954-01-26,60,35,47.5,T,0,0
1954-01-27,59,30,44.5,0.84,T,0
1954-01-28,32,20,26,0.04,0.5,T
1954-01-29,33,7,20,0,0,T
1954-01-30,38,25,31.5,0,T,0
1954-01-31,30,13,21.5,0.04,0,0
1954-02-01,39,9,24,T,T,T
1954-02-02,43,30,36.5,T,0,0
1955-01-01,55,21,38,0,0,0
1955-01-02,49,22,35.5,0.21,0,0
1955-01-03,M,19,M,0,0,0
1955-01-04,42,29,35.5,0.05,0,0
1955-01-05,43,24,33.5,0,0,0
1955-01-06,56,32,44,0.45,0,0
1955-01-07,33,27,30,0.13,0,0
1955-01-08,40,16,28,0,0,0
1955-01-09,36,18,27,0,0,0
1955-01-10,37,31,34,0.12,T,T
1955-01-11,37,23,30,0,0,0
1955-01-12,34,19,26.5,0.2,0.2,T
1955-01-13,30,25,27.5,0.1,1.1,1
1955-01-14,29,21,25,0.02,0.3,1
1955-01-15,39,23,31,0.07,1,2
1955-01-16,36,19,27.5,0,0,1
1955-01-17,31,15,23,T,T,1
1955-01-18,27,18,22.5,T,T,1
1955-01-19,28,19,23.5,0,0,1
1955-01-20,28,12,20,0,0,T
1955-01-21,39,5,22,0,0,T
1955-01-22,40,28,34,0.16,0.9,1
1955-01-23,32,10,21,0.03,0.5,1
1955-01-24,30,6,18,0,0,1
1955-01-25,30,10,20,0.17,1.7,3
1955-01-26,30,17,23.5,0.2,2.3,2
1955-01-27,32,0,16,0.15,2.1,4
1955-01-28,20,-13,3.5,0,0,4
1955-01-29,19,-4,7.5,0.02,0.3,4
1955-01-30,17,-13,2,0,0,4
1955-01-31,24,-14,5,0,0,3
1955-02-01,38,22,30,0.08,1,4
1955-02-02,33,8,20.5,0.28,3,6
1957-01-01,31,9,20,0.09,1.6,2
1957-01-02,22,0,11,0.01,0.1,2
1957-01-03,28,15,21.5,0.01,T,2
1957-01-04,39,22,30.5,0,0,2
1957-01-05,31,24,27.5,0,0,T
1957-01-06,33,18,25.5,0,0,T
1957-01-07,32,27,29.5,0.15,1.8,2
1957-01-08,31,20,25.5,0.12,1.5,3
1957-01-09,38,27,32.5,0.14,1.5,4
1957-01-10,39,20,29.5,0.39,T,1
1957-01-11,22,9,15.5,0.01,T,1
1957-01-12,38,4,21,0,0,1
1957-01-13,35,18,26.5,0,0,T
1957-01-14,18,-2,8,0.11,1.4,1
1957-01-15,23,-8,7.5,0,0,1
1957-01-16,18,9,13.5,0.04,0.6,2
1957-01-17,10,-15,-2.5,0.01,T,2
1957-01-18,18,-3,7.5,0.04,0.6,2
1957-01-19,31,9,20,0.01,T,2
1957-01-20,46,2,24,0,0,2
1957-01-21,54,34,44,0,0,T
1957-01-22,58,30,44,0,0,T
1957-01-23,57,18,37.5,0.5,T,0
1957-01-24,30,8,19,T,0,0
1957-01-25,34,25,29.5,0,0,0
1957-01-26,33,24,28.5,0.18,2,2
1957-01-27,30,23,26.5,0.03,0.4,2
1957-01-28,33,21,27,0,0,0
1957-01-29,40,30,35,0.57,0,0
1957-01-30,31,23,27,0.28,0.5,T
1957-01-31,38,25,31.5,0,0,T
1957-02-01,35,31,33,T,T,T
1957-02-02,33,23,28,0.4,0,T
1958-01-01,42,20,31,0,0,T
1958-01-02,22,12,17,0.11,1.2,1
1958-01-03,22,5,13.5,0.02,0.2,1
1958-01-04,21,-5,8,0,0,1
1958-01-05,25,-3,11,0,0,1
1958-01-06,43,3,23,0,0,T
1958-01-07,43,23,33,0.05,0.7,1
1958-01-08,25,6,15.5,0.02,0.4,2
1958-01-09,23,-11,6,0.01,0.2,2
1958-01-10,42,0,21,T,T,T
1958-01-11,40,24,32,0,0,0
1958-01-12,40,1,20.5,0,0,0
1958-01-13,47,10,28.5,0,0,0
1958-01-14,38,33,35.5,0.29,0,0
1958-01-15,38,33,35.5,1.14,0,0
1958-01-16,34,27,30.5,T,T,T
1958-01-17,28,24,26,0.03,0.3,T
1958-01-18,29,19,24,0.05,0.7,1
1958-01-19,26,2,14,T,T,1
1958-01-20,47,8,27.5,0,0,T
1958-01-21,41,31,36,0,0,0
1958-01-22,42,32,37,0.32,0.2,T
1958-01-23,37,24,30.5,0.22,T,T
1958-01-24,37,21,29,0,0,T
1958-01-25,38,28,33,0.82,2.6,3
1958-01-26,35,30,32.5,0.05,0.5,2
1958-01-27,35,25,30,0,0,2
1958-01-28,32,27,29.5,0.16,1.8,4
1958-01-29,34,27,30.5,0.07,0.8,5
1958-01-30,32,26,29,T,T,5
